"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"1";"Eila, Rampe ja Likka";25324;"2014";"Nordisk Film Theatrical Distribution Oy";2014-12-26;"Eila, Rampe ja Likka";"SUOMI"
"2";"Exodus: Gods and Kings";27576;"2014";"FS Film Oy";2014-12-26;"Exodus: Gods and Kings";"ENGLANTI-USA"
"3";"Madagascarin pingviinit";85913;"2014";"FS Film Oy";2014-12-26;"Penguins of Madagascar";"USA"
"4";"Päin seinää";22217;"2014";"FS Film Oy";2014-12-26;"Päin seinää";"SUOMI"
"5";"The Good Lie";3700;"2014";"Finnkino Oy";2014-12-26;"The Good Lie";"KENIA-INTIA-USA"
"6";"Chef";3156;"2014";"The Walt Disney Company Nordic";2014-12-19;"Chef";"USA"
"7";"Helinä-keiju ja Mikä-mikä-hirviön arvoitus";23833;"2014";"The Walt Disney Company Nordic";2014-12-19;"Tinkerbell: Legedf of the Neverbeast";"USA"
"8";"Mr. Turner";6366;"2014";"FS Film Oy";2014-12-19;"MR. Turner";"UK-RANSKA"
"9";"Sune i fjällen";5083;"2014";"Isla Sales";2014-12-19;"Sune i fjällen";"RUOTSI"
"10";"Aatsinki: The Story of Arctic Cowboys";838;"2014";"SUOMEN Elokuvakontakti R";2014-12-12;"Aatsinki: The Story of Arctic Cowboys";"USA-SUOMI"
"11";"French Riviera";2369;"2014";"Cinemanse";2014-12-12;"L'homme qu'on aimait trop";"RANSKA"
"12";"The Kingdom of Dreams and Madness";717;"2014";"Cinema Mondo Oy";2014-12-12;"Yume to kyôki no ôkoku";"JAPANI"
"13";"Hobitti - Viiden armeijan taistelu";359119;"2014";"FS Film Oy";2014-12-10;"The Hobbit: The Battle of the Five Armies";"USA"
"14";"Maps to the Stars";4005;"2014";"Future Film";2014-12-05;"Maps to the Stars";"USA"
"15";"Wish I Was Here";1491;"2014";"Snapper Films Distribution";2014-12-05;"Wish I Was Here";"USA"
"16";"Nightmare 2 - Painajainen jatkuu";68519;"2014";"FS Film Oy";2014-12-03;"Nightmare 2 - Painajainen jatkuu";"SUOMI"
"17";"'71";1835;"2014";"Atlantic Film Oy";2014-11-28;"'71";"ENGLANTI"
"18";"Autolla Nepaliin - Unelmien elokuva";11080;"2014";"Black Lion Independent";2014-11-28;"Autolla Nepaliin - Unelmien elokuva";"SUOMI"
"19";"Krokotiilin keltaiset silmät";2647;"2014";"Cinemanse";2014-11-28;"Les yeux jaunes des crocodiles";"RANSKA-ESPANJA"
"20";"The Judge";8252;"2014";"FS Film Oy";2014-11-28;"The Judge";"USA"
"21";"Tusen bitar";233;"2014";"Kinoscreen Illusion";2014-11-28;"Tusen bitar";"RUOTSI"
"22";"Kaksi päivää, yksi yö";8353;"2014";"Cinema Mondo Oy";2014-11-21;"Deux jours, une nuit";"BELGIA-RANSKA"
"23";"Tuulensieppaajat";466;"2014";"Pirkanmaan Elokuvakeskus";2014-11-21;"Tuulensieppaajat";"SUOMI"
"24";"Nälkäpeli - Matkijanärhi, osa 1";172018;"2014";"Nordisk Film Theatrical Distribution Oy";2014-11-19;"The Hunger Games: Mockingjay - Part 1";"USA"
"25";"Elämän tanssi";2366;"2014";"Cinema Mondo Oy";2014-11-14;"La danza de la realidad";"CHILE-RANSKA"
"26";"My Little Pony: Equestria Girls - Rainbow Rocks";5281;"2014";"Vl-Media";2014-11-14;"My Little Pony: Equestria Girls - Rainbow Rocks";"USA-KANADA"
"27";"The Homesman";3766;"2014";"Finnkino Oy";2014-11-14;"The Homesman";"RANSKA-USA"
"28";"Nuija ja tosinuija kaks";63265;"2014";"Future Film";2014-11-12;"Dumb and dumber To";"USA"
"29";"Amazonia";4979;"2014";"Vl-Media";2014-11-07;"Amazonia";"RANSKA-BRASILIA"
"30";"Interstellar";141774;"2014";"FS Film Oy";2014-11-07;"Interstellar";"USA-UK-KANADA"
"31";"Luokkajuhla";10135;"2014";"Cinema Mondo Oy";2014-11-07;"Återträffen";"RUOTSI"
"32";"Ruotsalainen hetki";2243;"2014";"B-Plan Distribution";2014-11-07;"Ruotsalainen hetki";"SUOMI"
"33";"Fury";57101;"2014";"The Walt Disney Company Nordic";2014-10-31;"Fury";"USA-KIINA-UK"
"34";"Lomasankarit";47123;"2014";"Nordisk Film Theatrical Distribution Oy";2014-10-31;"Lomasankarit";"SUOMI"
