"";"elokuva";"tukisumma";"tukityyppi";"lajityyppi";"hakija";"esittelija";"tukivuosi";"tukipvm"
"1";"Rölli ja kultainen avain";7e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"MRP Matila Röhr Productions Oy";"Kaisu Isto";2012;2012-04-05
"2";"Onnenonkija";620000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Marjo Valve";2015;2015-04-02
"3";"Viikossa aikuiseksi";730000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Dionysos Films Oy";"Marjo Valve";2014;2014-04-02
"4";"Eila, Rampe ja Likka";610000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Kinosto Oy";"Marjo Valve";2014;2014-04-02
"5";"VARES - SERIFFI";530000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Marjo Valve";2014;2014-04-02
"6";"NM2 (TYÖNIMI)";290000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"FremantleMedia Finland Oy";"Hannu Tuomainen";2013;2013-10-23
"7";"Elämältä kaiken sain (ent. Kotiinpaluu)";580000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Marianna Films Oy";"Hannu Tuomainen";2013;2013-10-23
"8";"KÄTILÖ";8e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Hannu Tuomainen";2013;2013-10-23
"9";"LEIJONASYDÄN";750000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Kaisu Isto";2012;2012-04-05
"10";"Isänmaallinen mies";740000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Art Films production AFP Oy";"Kaisu Isto";2012;2012-04-05
"11";"Kaappari (ent. Pitkäperjantai)";550000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Kaisu Isto";2011;2011-10-17
"12";"Juoppohullun päiväkirja";5e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Dictator Films Oy";"Kaisu Isto";2011;2011-10-17
"13";"Vuonna 85";8e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Artista Filmi Oy";"Kaisu Isto";2011;2011-10-17
"14";"Risto Räppääjä ja yöhaukka";8e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Artista Filmi Oy";"Marjo Valve";2015;2015-04-02
"15";"Risto Räppääjä ja Sevillan saituri";560000;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Artista Filmi Oy";"Marjo Valve";2014;2014-04-02
"16";"Lomasankarit ( ent. Seikkailu Kreikassa)";585000;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Yellow Film & TV Oy";"Hannu Tuomainen";2013;2013-10-23
"17";"Ei maata näkyvissä";2e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"FremantleMedia Finland Oy";"Kaisu Isto";2012;2012-04-05
"18";"Ella ja kaverit";4e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Snapper Films Oy";"Kaisu Isto";2011;2011-10-17
"19";"KIELLETTY HEDELMÄ";180000;"Jälkituki";"Lyhyt elokuva";"Helsinki-filmi Oy";"Niina Otva";2010;2010-03-18
"20";"Napapiirin sankarit";140000;"Jälkituki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Niina Otva";2011;2011-06-01
"21";"NIKO - LENTÄJÄN POIKA";2e+05;"Jälkituki";"Pitkä animaatioelokuva";"Animaker Oy";"Niina Otva";2009;2009-02-05
"22";"Selänne";2e+05;"Jälkituki";"Dokumenttielokuva";"Yellow Film & TV Oy";"Niina Otva";2014;2014-09-17
"23";"Metsän tarina";130062;"Jälkituki";"Dokumenttielokuva";"MRP Matila Röhr Productions Oy";"Niina Otva";2013;2013-12-09
"24";"Miesten vuoro";171900;"Jälkituki";"Dokumenttielokuva";"Oktober Oy";"Niina Otva";2011;2011-03-18
"25";"Reindeerspotting";33317;"Jälkituki";"Dokumenttielokuva";"Bronson Club Oy";"Niina Otva";2011;2011-02-08
"26";"Rölli ja Kultainen Avain";1e+05;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"MRP Matila Röhr Productions Oy";"Niina Otva";2014;2014-02-04
"27";"Herra Heinämäki ja leijonatuuliviiri";9292;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Jackpot Films Oy";"Niina Otva";2013;2013-04-24
"28";"Risto Räppääjä ja polkupyörävaras";2e+05;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Kinotar Oy (vanha)";"Niina Otva";2011;2011-04-27
"29";"Ei kiitos";286;"Jälkituki";"Pitkä näytelmäelokuva";"Kinotar Oy";"Niina Otva";2015;2015-06-04
"30";"Vadelmavene pakolainen";195000;"Jälkituki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Niina Otva";2015;2015-04-02
"31";"Kummeli V";350000;"Jälkituki";"Pitkä näytelmäelokuva";"Nummela-Filmi Oy";"Niina Otva";2015;2015-04-02
"32";"Kesäkaverit";152818;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2015;2015-04-02
"33";"Mielensäpahoittaja";219468;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2015;2015-04-02
"34";"EI MAATA NÄKYVISSÄ";41611;"Jälkituki";"Pitkä näytelmäelokuva";"FremantleMedia Finland Oy";"Niina Otva";2014;2014-09-17
"35";"Leijonasydän";50000;"Jälkituki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Niina Otva";2014;2014-09-17
"36";"Ainoat oikeat";9881;"Jälkituki";"Pitkä näytelmäelokuva";"Yellow Film & TV Oy";"Niina Otva";2014;2014-06-04
"37";"Juoppohullun päiväkirja";132692;"Jälkituki";"Pitkä näytelmäelokuva";"Dictator Films Oy";"Niina Otva";2014;2014-04-02
"38";"21 tapaa pilata avioliitto";5408;"Jälkituki";"Pitkä näytelmäelokuva";"Dionysos Films Oy";"Niina Otva";2014;2014-04-02
"39";"Tumman veden päällä";29426;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2014;2014-02-04
"40";"Tie pohjoiseen";37980;"Jälkituki";"Pitkä näytelmäelokuva";"Marianna Films Oy";"Niina Otva";2013;2013-10-23
"41";"Kulman Pojat";45912;"Jälkituki";"Pitkä näytelmäelokuva";"Bronson Club Oy";"Niina Otva";2013;2013-04-24
"42";"Vuosaari";1e+05;"Jälkituki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Niina Otva";2013;2013-02-05
"43";"Puhdistus";170000;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2013;2013-02-05
"44";"Vares Kaidan tien kulkija";201540;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2013;2013-02-05
"45";"Vares Pimeyden tango";105964;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2013;2013-02-05
"46";"Vares Uhkapelimerkki";47920;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2013;2013-02-05
"47";"Härmä";50000;"Jälkituki";"Pitkä näytelmäelokuva";"Yellow Film & TV Oy";"Niina Otva";2013;2013-02-05
"48";"Där vi en gång gått";15320;"Jälkituki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Niina Otva";2012;2012-12-05
"49";"Le Havre";50000;"Jälkituki";"Pitkä näytelmäelokuva";"Sputnik Oy";"Niina Otva";2012;2012-12-05
"50";"Varasto";34985;"Jälkituki";"Pitkä näytelmäelokuva";"Kinosto Oy";"Niina Otva";2012;2012-12-05
"51";"Vares Sukkanauhakäärme";175280;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2012;2012-02-27
"52";"Vares Pahan suudelma";4e+05;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2012;2012-02-27
"53";"Vares Huhtikuun tytöt";134808;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2012;2012-02-27
"54";"Veijarit";210000;"Jälkituki";"Pitkä näytelmäelokuva";"Bronson Club Oy";"Niina Otva";2011;2011-06-01
"55";"JOS RAKASTAT";97607;"Jälkituki";"Pitkä näytelmäelokuva";"Juonifilmi Oy";"Niina Otva";2011;2011-06-01
"56";"Harjunpää ja pahan pappi";26564;"Jälkituki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Niina Otva";2011;2011-06-01
"57";"Sisko tahtoisin jäädä";150000;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2011;2011-06-01
"58";"Prinsessa";150000;"Jälkituki";"Pitkä näytelmäelokuva";"Art Films production AFP Oy";"Niina Otva";2011;2011-04-27
"59";"Rare Exports";80000;"Jälkituki";"Pitkä näytelmäelokuva";"Cinet Oy";"Niina Otva";2011;2011-04-27
"60";"Täällä Pohjantähden alla 2";93764;"Jälkituki";"Pitkä näytelmäelokuva";"Artista Filmi Oy";"Niina Otva";2011;2011-02-16
"61";"POSTIA PAPPI JAAKOBILLE";47701;"Jälkituki";"Pitkä näytelmäelokuva";"Kinotar Oy (vanha)";"Niina Otva";2010;2010-12-08
"62";"HAARAUTUVAN RAKKAUDEN TALO";1e+05;"Jälkituki";"Pitkä näytelmäelokuva";"Marianna Films Oy";"Niina Otva";2010;2010-10-27
"63";"RALLIRAITA";56052;"Jälkituki";"Pitkä näytelmäelokuva";"Suomen Filmiteollisuus SF Oy";"Niina Otva";2010;2010-05-26
"64";"SKAVABÖLEN POJAT";80000;"Jälkituki";"Pitkä näytelmäelokuva";"Juonifilmi Oy";"Niina Otva";2010;2010-04-28
