"";"elokuva";"tukisumma";"tukityyppi";"lajityyppi";"hakija";"esittelija";"tukivuosi";"tukipvm"
"1";"Rölli ja kultainen avain";7e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"MRP Matila Röhr Productions Oy";"Kaisu Isto";2012;2012-04-05
"2";"Onnenonkija";620000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Marjo Valve";2015;2015-04-02
"3";"Viikossa aikuiseksi";730000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Dionysos Films Oy";"Marjo Valve";2014;2014-04-02
"4";"Eila, Rampe ja Likka";610000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Kinosto Oy";"Marjo Valve";2014;2014-04-02
"5";"VARES - SERIFFI";530000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Marjo Valve";2014;2014-04-02
"6";"NM2 (TYÖNIMI)";290000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"FremantleMedia Finland Oy";"Hannu Tuomainen";2013;2013-10-23
"7";"Elämältä kaiken sain (ent. Kotiinpaluu)";580000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Marianna Films Oy";"Hannu Tuomainen";2013;2013-10-23
"8";"KÄTILÖ";8e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Hannu Tuomainen";2013;2013-10-23
"9";"LEIJONASYDÄN";750000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Kaisu Isto";2012;2012-04-05
"10";"Isänmaallinen mies";740000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Art Films production AFP Oy";"Kaisu Isto";2012;2012-04-05
"11";"Kaappari (ent. Pitkäperjantai)";550000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Kaisu Isto";2011;2011-10-17
"12";"Juoppohullun päiväkirja";5e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Dictator Films Oy";"Kaisu Isto";2011;2011-10-17
"13";"Vuonna 85";8e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Artista Filmi Oy";"Kaisu Isto";2011;2011-10-17
"14";"Risto Räppääjä ja yöhaukka";8e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Artista Filmi Oy";"Marjo Valve";2015;2015-04-02
"15";"Risto Räppääjä ja Sevillan saituri";560000;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Artista Filmi Oy";"Marjo Valve";2014;2014-04-02
"16";"Lomasankarit ( ent. Seikkailu Kreikassa)";585000;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Yellow Film & TV Oy";"Hannu Tuomainen";2013;2013-10-23
"17";"Ei maata näkyvissä";2e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"FremantleMedia Finland Oy";"Kaisu Isto";2012;2012-04-05
"18";"Ella ja kaverit";4e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Snapper Films Oy";"Kaisu Isto";2011;2011-10-17
"19";"MISSÄ ON MISSÄ? Ahtila Eija-Liisa/verkkojakelu";4932;"Digitaalisen jakelun tuki";"";"Kristallisilmä Oy";"Harri Ahokas";2011;2011-12-19
"20";"Toiset tytöt";2350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-11-26
"21";"Armi elää! (DVD, VOD)";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Atlantic Film Finland Ab";"Harri Ahokas";2015;2015-11-18
"22";"Ruotsalainen hetki";2300;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Atlantic Film Finland Ab";"Harri Ahokas";2015;2015-11-18
"23";"Herra Puntila ja hänen renkinsä Matti";2100;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-11-18
"24";"Meren kasvojen edessä";746;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-11-18
"25";"2 hauskaa vekkulia";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"26";"Aatamin puvussa ja vähän Eevankin";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"27";"Alaston malli karkuteillä";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"28";"Anu ja Mikko";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"29";"Asessorin naishuolet";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"30";"Elokuu";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"31";"Hopeaa rajan takaa";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"32";"Iskelmäketju";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"33";"Kaikkien naisten monni";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"34";"Kolmiapila";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"35";"Kulkurin masurkka";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"36";"Kummituskievari";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"37";"Kuningas kulkureitten";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"38";"Laivaston monnit maissa";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"39";"Luottamus";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"40";"Miljonäärimonni";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"41";"Noita palaa elämään";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"42";"Poika eli kesäänsä";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"43";"Punainen viiva";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"44";"Rintamalotta";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"45";"Rosvo Roope";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"46";"Saariston tyttö";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"47";"Salakuljettajan laulu";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"48";"Suomalaistyttöjä Tukholmassa";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"49";"Taas tyttö kadoksissa";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"50";"Veskun parhaat Spede -elokuvat box";1500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"51";"Ylijäämänainen";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"52";"Risto Räppääjä ja Sevillan saituri";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"The Walt Disney Company Nordic";"Harri Ahokas";2015;2015-06-04
"53";"Muutoksii";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Isla Sales Oy";"Harri Ahokas";2015;2015-06-03
"54";"KORSO";5995;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Atlantic Film Finland Ab";"Harri Ahokas";2015;2015-04-28
"55";"Eedenistä pohjoiseen";9184;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Isla Sales Oy";"Harri Ahokas";2015;2015-04-08
"56";"Miesten välisiä keskusteluja";1417;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Isla Sales Oy";"Harri Ahokas";2015;2015-04-08
"57";"Monsterimies";2200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"58";"Akseli ja Elina";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"59";"Evakko";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"60";"Kovanaama";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"61";"Kultainen vasikka";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"62";"Lumikki ja 7 jätkää";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
