"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"1";"Eila, Rampe ja Likka";25324;"2014";"Nordisk Film Theatrical Distribution Oy";2014-12-26;"Eila, Rampe ja Likka";"SUOMI"
"2";"Päin seinää";22217;"2014";"FS Film Oy";2014-12-26;"Päin seinää";"SUOMI"
"3";"Aatsinki: The Story of Arctic Cowboys";838;"2014";"SUOMEN Elokuvakontakti R";2014-12-12;"Aatsinki: The Story of Arctic Cowboys";"USA-SUOMI"
"4";"Nightmare 2 - Painajainen jatkuu";68519;"2014";"FS Film Oy";2014-12-03;"Nightmare 2 - Painajainen jatkuu";"SUOMI"
"5";"Autolla Nepaliin - Unelmien elokuva";11080;"2014";"Black Lion Independent";2014-11-28;"Autolla Nepaliin - Unelmien elokuva";"SUOMI"
"6";"Tuulensieppaajat";466;"2014";"Pirkanmaan Elokuvakeskus";2014-11-21;"Tuulensieppaajat";"SUOMI"
"7";"Ruotsalainen hetki";2243;"2014";"B-Plan Distribution";2014-11-07;"Ruotsalainen hetki";"SUOMI"
"8";"Lomasankarit";47123;"2014";"Nordisk Film Theatrical Distribution Oy";2014-10-31;"Lomasankarit";"SUOMI"
"9";"He ovat paenneet";3093;"2014";"FS Film Oy";2014-10-17;"He ovat paenneet";"SUOMI"
"10";"Muumit Rivieralla";174193;"2014";"Nordisk Film Theatrical Distribution Oy";2014-10-10;"Muumit Rivieralla";"SUOMI-RANSKA"
"11";"Ulvilan murhamysteeri";2423;"2014";"First Floor Pro.";2014-10-03;"Ulvilan murhamysteeri";"SUOMI"
"12";"Vadelmavenepakolainen";110448;"2014";"Nordisk Film Theatrical Distribution Oy";2014-10-03;"Vadelmavenepakolainen";"SUOMI-RUOTSI"
"13";"Monsterimies";566;"2014";"Vl-Media";2014-09-26;"Monsterimies";"SUOMI"
"14";"Palsa";1793;"2014";"Isla Sales";2014-09-12;"Palsa";"SUOMI"
"15";"Shopping tour";590;"2014";"Black Lion Independent";2014-09-12;"Shoping-tur";"VENÄJÄ-SUOMI"
"16";"Brooklynin pojat";393;"2014";"Black Lion Independent";2014-09-05;"Brooklynin pojat";"SUOMI"
"17";"Mielensäpahoittaja";457334;"2014";"Nordisk Film Theatrical Distribution Oy";2014-09-05;"Mielensäpahoittaja";"SUOMI"
"18";"Aikuisten poika";12489;"2014";"FS Film Oy";2014-08-29;"Aikuisten poika";"SUOMI"
"19";"Kesäkaverit";129473;"2014";"Nordisk Film Theatrical Distribution Oy";2014-08-01;"Kesäkaverit";"SUOMI"
"20";"Koomikot";474;"2014";"Nordisk Film Theatrical Distribution Oy";2014-05-09;"The Clownvise";"SLOVAKIA-LUXEMBURG-TSEKKI-SUOMI"
"21";"Love & engineering - rakkauden insinöörit";554;"2014";"SUOMEN Elokuvakontakti R";2014-05-09;"Love & Engineering";"SUOMI-SAKSA"
"22";"Tolonen";1765;"2014";"Pirkanmaan Elokuvakeskus";2014-05-02;"Tolonen";"SUOMI"
"23";"Laulu";1131;"2014";"Black Lion Independent";2014-04-11;"Laulu";"SUOMI"
"24";"Romanssi";1350;"2014";"Vl-Media";2014-04-11;"Romanssi";"SUOMI"
"25";"Muutoksii";15958;"2014";"Pirkanmaan Elokuvakeskus";2014-04-04;"Muutoksii";"SUOMI"
"26";"Näin unta elämästä";2222;"2014";"Pirkanmaan Elokuvakeskus";2014-03-28;"Näin unta elämästä";"SUOMI"
"27";"Presidentintekijät";10692;"2014";"FS Film Oy";2014-03-14;"Presidentintekijät";"SUOMI"
"28";"Eedenistä pohjoiseen";14872;"2014";"Isla Sales";2014-03-07;"Eedenistä pohjoiseen";"SUOMI"
"29";"Korso";10789;"2014";"B-Plan Distribution";2014-02-28;"Korso";"SUOMI"
"30";"Kummeli V";178345;"2014";"Nordisk Film Theatrical Distribution Oy";2014-02-19;"Kummeli V";"SUOMI"
"31";"Isac Elliot - Dream Big The Movie";5982;"2014";"Isla Sales";2014-02-14;"Isac Elliot - Dream Big The Movie";"SUOMI"
"32";"Risto Räppääjä ja Liukas Lennart";265615;"2014";"The Walt Disney Company Nordic";2014-02-07;"Risto Räppääjä ja Liukas Lennart";"SUOMI"
"33";"Anselmi Nuori ihmissusi";4931;"2014";"Black Lion Independent";2014-01-24;"Anselmi Nuori ihmissusi";"SUOMI"
"34";"Onneli ja Anneli";177161;"2014";"Nordisk Film Theatrical Distribution Oy";2014-01-17;"Onneli ja Anneli";"SUOMI"
"35";"Ei Kiitos";127181;"2014";"FS Film Oy";2014-01-10;"Ei Kiitos";"SUOMI"
"36";"Ainoat oikeat";113284;"2013";"Nordisk Film Theatrical Distribution Oy";2013-12-27;"Ainoat oikeat";"SUOMI"
"37";"Ella ja kaverit 2 - Paterock";91983;"2013";"Snapper Films Distribution";2013-12-27;"Ella ja kaverit 2 - Paterock";"SUOMI"
"38";"Ajomies (65min)";393;"2013";"Pirkanmaan Elokuvakeskus";2013-12-06;"Ajomies (65min)";"SUOMI"
"39";"Isänmaallinen mies";34044;"2013";"Future Film";2013-12-04;"Isänmaallinen mies";"SUOMI"
"40";"LasseMajas detektivbyrå - Von Broms hemlighet";1356;"2013";"FS Film Oy";2013-11-22;"LasseMajas detektivbyrå - Von Broms hemlighet";"RUOTSI-SUOMI"
"41";"Nuoren Wertherin jäljillä";648;"2013";"FS Film Oy";2013-11-22;"Nuoren Wertherin jäljillä";"SUOMI"
"42";"Salpa";2415;"2013";"Black Lion Independent";2013-11-20;"Salpa";"SUOMI"
"43";"Kalevala - Uusi aika";5045;"2013";"Vl-Media";2013-11-15;"Kalevala - Uusi aika";"SUOMI"
"44";"Luciferin viimeinen elämä";183;"2013";"Pirkanmaan Elokuvakeskus";2013-11-08;"Luciferin viimeinen elämä";"SUOMI"
"45";"Betoniyö";10403;"2013";"Cinema Mondo Oy";2013-11-01;"Betoniyö";"SUOMI"
"46";"Leijonasydän";199206;"2013";"Scanbox Finland Oy";2013-10-18;"Leijonasydän";"SUOMI"
"47";"Poski poskea vasten";1596;"2013";"Pirkanmaan Elokuvakeskus";2013-10-18;"Mittsommernachtstango";"SAKSA-SUOMI"
"48";"Knucklebonehead";430;"2013";"Black Lion Independent";2013-10-11;"Knucklebonehead";"SUOMI"
"49";"Mieletön Elokuu";28592;"2013";"Nordisk Film Theatrical Distribution Oy";2013-10-04;"Mieletön Elokuu";"SUOMI"
"50";"Pioneer sukellus meren syvyyksiin";759;"2013";"Bio Rex Cinemas";2013-10-04;"Pioneer";"NORJA-SUOMI"
"51";"Oppipoika";13833;"2013";"Långfilm Productions Finland";2013-09-27;"Lärjungen";"SUOMI"
"52";"Selänne";130530;"2013";"FS Film Oy";2013-09-27;"Selänne";"SUOMI"
"53";"Silmäterä";2879;"2013";"Atlantic Film Oy";2013-09-20;"Silmäterä";"SUOMI"
"54";"Muisteja";4827;"2013";"Pirkanmaan Elokuvakeskus";2013-09-13;"Muisteja";"SUOMI"
"55";"Tumman veden päällä";87298;"2013";"Nordisk Film Theatrical Distribution Oy";2013-09-06;"Tumman veden päällä";"SUOMI"
"56";"Pahaa verta";301;"2013";"Black Lion Independent";2013-08-23;"Pahaa verta";"SUOMI"
"57";"Kekkonen tulee!";35122;"2013";"Nordisk Film Theatrical Distribution Oy";2013-08-16;"Kekkonen tulee!";"SUOMI"
"58";"Bekas";661;"2013";"FS Film Oy";2013-07-26;"Bekas";"RUOTSI-SUOMI"
"59";"American Vagabond";2052;"2013";"SUOMEN Elokuvakontakti R";2013-06-26;"American Vagabond";"SUOMI"
"60";"Mesenaatti";4854;"2013";"Pirkanmaan Elokuvakeskus";2013-06-14;"Mesenaatti";"SUOMI"
"61";"Pystyssä";1035;"2013";"Black Lion Independent";2013-05-24;"Pystyssä";"SUOMI"
"62";"Alaska Highway";4548;"2013";"FS Film Oy";2013-04-19;"Alaska Highway";"SUOMI"
"63";"Laulu koti-ikävästä";9525;"2013";"Pirkanmaan Elokuvakeskus";2013-04-05;"Laulu koti-ikävästä";"SUOMI"
"64";"Soundbreaker";393;"2013";"Pirkanmaan Elokuvakeskus";2013-03-22;"Soundbreaker";"SUOMI"
"65";"Hilton!";5981;"2013";"Nordisk Film Theatrical Distribution Oy";2013-03-15;"Hilton!";"SUOMI"
"66";"In The Darkroom: Pimennossa";341;"2013";"Pirkanmaan Elokuvakeskus";2013-03-15;"In The Darkroom";"SAKSAN LTV-SUOMI"
"67";"Kerron sinulle kaiken";9788;"2013";"Future Film";2013-03-08;"Kerron sinulle kaiken";"SUOMI"
"68";"Viru - tarinoita hotellista";1647;"2013";"Pirkanmaan Elokuvakeskus";2013-03-01;"Viru - tarinoita hotellista";"SUOMI-VIRO"
"69";"8-pallo";61936;"2013";"Nordisk Film Theatrical Distribution Oy";2013-02-22;"8-pallo";"SUOMI"
"70";"21 tapaa pilata avioliitto";403196;"2013";"Nordisk Film Theatrical Distribution Oy";2013-02-08;"21 tapaa pilata avioliitto";"SUOMI"
"71";"Kaikella Rakkaudella";16571;"2013";"The Walt Disney Company Nordic";2013-02-01;"Kaikella Rakkaudella";"SUOMI"
"72";"Rölli ja kultainen avain";204870;"2013";"Nordisk Film Theatrical Distribution Oy";2013-02-01;"Rölli ja kultainen avain";"SUOMI"
"73";"Tavarataivas";5478;"2013";"SUOMEN Elokuvakontakti R";2013-02-01;"Tavarataivas";"SUOMI"
"74";"Vuonna -85";165856;"2013";"The Walt Disney Company Nordic";2013-01-25;"Vuonna -85";"SUOMI"
"75";"Häätanssi";893;"2013";"Pirkanmaan Elokuvakeskus";2013-01-18;"Häätanssi";"SUOMI"
"76";"Kaappari";44846;"2013";"Nordisk Film Theatrical Distribution Oy";2013-01-18;"Kaappari";"SUOMI"
"77";"Miesten välisiä keskusteluja";455;"2013";"Pirkanmaan Elokuvakeskus";2013-01-04;"Miesten välisiä keskusteluja";"SUOMI"
"78";"Ella ja kaverit";130811;"2012";"Snapper Films Distribution";2012-12-28;"Ella ja kaverit";"SUOMI"
"79";"Juoppohullun päiväkirja";126362;"2012";"Scanbox Finland Oy";2012-12-28;"Juoppohullun päiväkirja";"SUOMI"
"80";"Metsän tarina";88812;"2012";"Nordisk Film Theatrical Distribution Oy";2012-12-28;"Metsän tarina";"SUOMI"
"81";"Rakkauden rasvaprosentti";42120;"2012";"Nordisk Film Theatrical Distribution Oy";2012-12-21;"Rakkauden rasvaprosentti";"SUOMI"
"82";"Nightmare - Painajainen merellä";125113;"2012";"FS Film Oy";2012-12-05;"Nightmare - Painajainen merellä";"SUOMI"
"83";"Robin";23731;"2012";"Nordisk Film Theatrical Distribution Oy";2012-12-05;"Robin";"SUOMI"
"84";"Call Girl";3987;"2012";"Nordisk Film Theatrical Distribution Oy";2012-11-23;"Call Girl";"RUOTSI-SUOMI-NORJA"
"85";"Imaginaerum";17946;"2012";"Nordisk Film Theatrical Distribution Oy";2012-11-23;"Imaginaerum";"KANADA-SUOMI"
"86";"Kummisetäni thaimorsian";1706;"2012";"Pirkanmaan Elokuvakeskus";2012-11-16;"Kummisetäni thaimorsian";"SUOMI"
"87";"Kaksi tarinaa rakkaudesta";5378;"2012";"Nordisk Film Theatrical Distribution Oy";2012-10-19;"Must Have Been Love";"NORJA-SUOMI"
"88";"Veden peili";1648;"2012";"Pirkanmaan Elokuvakeskus";2012-10-19;"Veden peili";"SUOMI"
"89";"Niko 2 - lentäjäveljekset";155045;"2012";"Nordisk Film Theatrical Distribution Oy";2012-10-12;"Niko 2 - lentäjäveljekset";"SUOMI"
"90";"Sinivalkoinen valhe";6430;"2012";"Future Film";2012-10-05;"Sinivalkoinen valhe";"SUOMI"
"91";"Vares - Pimeyden tango";69098;"2012";"Nordisk Film Theatrical Distribution Oy";2012-10-05;"Vares - Pimeyden tango";"SUOMI"
"92";"Kuningas Litmanen";29293;"2012";"FS Film Oy";2012-09-28;"Kuningas Litmanen";"SUOMI"
"93";"3 Simoa";9653;"2012";"Pirkanmaan Elokuvakeskus";2012-09-14;"3 Simoa";"SUOMI"
"94";"Puhdistus";210013;"2012";"Nordisk Film Theatrical Distribution Oy";2012-09-07;"Puhdistus";"SUOMI"
"95";"Käräjävuorentie";2770;"2012";"Black Lion Independent";2012-08-31;"Käräjävuorentie";"SUOMI"
"96";"Tie Pohjoiseen";265759;"2012";"FS Film Oy";2012-08-24;"Tie Pohjoiseen";"SUOMI"
"97";"Miss Farkku-Suomi";43520;"2012";"Nordisk Film Theatrical Distribution Oy";2012-08-03;"Miss Farkku-Suomi";"SUOMI"
"98";"Ja saapuu oikea yö";8313;"2012";"Scanbox Finland Oy";2012-07-13;"Ja saapuu oikea yö";"SUOMI"
"99";"Russian Libertine - Venäjän vapain mies";1416;"2012";"Atlantic Film Oy";2012-05-11;"Russian Libertine - Venäjän vapain mies";"SUOMI"
